damage.function,gas,discount.rate,emissions.year,scghg
MimiGIVE,CO2,2.0% Ramsey,2020,190
MimiGIVE,CO2,2.0% Ramsey,2021,193
MimiGIVE,CO2,2.0% Ramsey,2022,197
MimiGIVE,CO2,2.0% Ramsey,2023,200
MimiGIVE,CO2,2.0% Ramsey,2024,204
MimiGIVE,CO2,2.0% Ramsey,2025,207
MimiGIVE,CO2,2.0% Ramsey,2026,210
MimiGIVE,CO2,2.0% Ramsey,2027,214
MimiGIVE,CO2,2.0% Ramsey,2028,217
MimiGIVE,CO2,2.0% Ramsey,2029,221
MimiGIVE,CO2,2.0% Ramsey,2030,224
MimiGIVE,CO2,2.0% Ramsey,2031,227
MimiGIVE,CO2,2.0% Ramsey,2032,231
MimiGIVE,CO2,2.0% Ramsey,2033,234
MimiGIVE,CO2,2.0% Ramsey,2034,237
MimiGIVE,CO2,2.0% Ramsey,2035,240
MimiGIVE,CO2,2.0% Ramsey,2036,244
MimiGIVE,CO2,2.0% Ramsey,2037,247
MimiGIVE,CO2,2.0% Ramsey,2038,250
MimiGIVE,CO2,2.0% Ramsey,2039,254
MimiGIVE,CO2,2.0% Ramsey,2040,257
MimiGIVE,CO2,2.0% Ramsey,2041,260
MimiGIVE,CO2,2.0% Ramsey,2042,264
MimiGIVE,CO2,2.0% Ramsey,2043,268
MimiGIVE,CO2,2.0% Ramsey,2044,271
MimiGIVE,CO2,2.0% Ramsey,2045,274
MimiGIVE,CO2,2.0% Ramsey,2046,278
MimiGIVE,CO2,2.0% Ramsey,2047,282
MimiGIVE,CO2,2.0% Ramsey,2048,285
MimiGIVE,CO2,2.0% Ramsey,2049,288
MimiGIVE,CO2,2.0% Ramsey,2050,292
MimiGIVE,CO2,2.0% Ramsey,2051,295
MimiGIVE,CO2,2.0% Ramsey,2052,297
MimiGIVE,CO2,2.0% Ramsey,2053,300
MimiGIVE,CO2,2.0% Ramsey,2054,303
MimiGIVE,CO2,2.0% Ramsey,2055,306
MimiGIVE,CO2,2.0% Ramsey,2056,308
MimiGIVE,CO2,2.0% Ramsey,2057,311
