damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,CO2,2%,2020,104
MimiIWG,CO2,2%,2021,105
MimiIWG,CO2,2%,2022,106
MimiIWG,CO2,2%,2023,108
MimiIWG,CO2,2%,2024,109
MimiIWG,CO2,2%,2025,110
MimiIWG,CO2,2%,2026,112
MimiIWG,CO2,2%,2027,113
MimiIWG,CO2,2%,2028,115
MimiIWG,CO2,2%,2029,116
MimiIWG,CO2,2%,2030,117
MimiIWG,CO2,2%,2031,119
MimiIWG,CO2,2%,2032,120
MimiIWG,CO2,2%,2033,122
MimiIWG,CO2,2%,2034,123
MimiIWG,CO2,2%,2035,125
MimiIWG,CO2,2%,2036,126
MimiIWG,CO2,2%,2037,127
MimiIWG,CO2,2%,2038,129
MimiIWG,CO2,2%,2039,130
MimiIWG,CO2,2%,2040,132
MimiIWG,CO2,2%,2041,133
MimiIWG,CO2,2%,2042,135
MimiIWG,CO2,2%,2043,136
MimiIWG,CO2,2%,2044,137
MimiIWG,CO2,2%,2045,139
MimiIWG,CO2,2%,2046,140
MimiIWG,CO2,2%,2047,142
MimiIWG,CO2,2%,2048,143
MimiIWG,CO2,2%,2049,145
MimiIWG,CO2,2%,2050,146
MimiIWG,CO2,2%,2051,147
MimiIWG,CO2,2%,2052,148
MimiIWG,CO2,2%,2053,150
MimiIWG,CO2,2%,2054,151
MimiIWG,CO2,2%,2055,152
MimiIWG,CO2,2%,2056,153
MimiIWG,CO2,2%,2057,155
MimiIWG,CO2,2%,2058,156
MimiIWG,CO2,2%,2059,157
MimiIWG,CO2,2%,2060,158
MimiIWG,CO2,2%,2061,160
MimiIWG,CO2,2%,2062,161
MimiIWG,CO2,2%,2063,163
MimiIWG,CO2,2%,2064,164
MimiIWG,CO2,2%,2065,166
MimiIWG,CO2,2%,2066,167
MimiIWG,CO2,2%,2067,169
MimiIWG,CO2,2%,2068,171
MimiIWG,CO2,2%,2069,172
MimiIWG,CO2,2%,2070,174
MimiIWG,CO2,2%,2071,175
MimiIWG,CO2,2%,2072,177
MimiIWG,CO2,2%,2073,178
MimiIWG,CO2,2%,2074,180
MimiIWG,CO2,2%,2075,181
MimiIWG,CO2,2%,2076,183
MimiIWG,CO2,2%,2077,184
MimiIWG,CO2,2%,2078,186
MimiIWG,CO2,2%,2079,188
MimiIWG,CO2,2%,2080,189
MimiIWG,CO2,2%,2081,190
MimiIWG,CO2,2%,2082,191
MimiIWG,CO2,2%,2083,191
MimiIWG,CO2,2%,2084,192
MimiIWG,CO2,2%,2085,193
MimiIWG,CO2,2%,2086,194
MimiIWG,CO2,2%,2087,194
MimiIWG,CO2,2%,2088,195
MimiIWG,CO2,2%,2089,196
MimiIWG,CO2,2%,2090,197
MimiIWG,CO2,2%,2091,197
MimiIWG,CO2,2%,2092,198
MimiIWG,CO2,2%,2093,199
MimiIWG,CO2,2%,2094,199
MimiIWG,CO2,2%,2095,200
MimiIWG,CO2,2%,2096,201
MimiIWG,CO2,2%,2097,201
MimiIWG,CO2,2%,2098,202
MimiIWG,CO2,2%,2099,203
MimiIWG,CO2,2%,2100,203
MimiIWG,CO2,3%,2020,42
MimiIWG,CO2,3%,2021,43
MimiIWG,CO2,3%,2022,44
MimiIWG,CO2,3%,2023,45
MimiIWG,CO2,3%,2024,46
MimiIWG,CO2,3%,2025,47
MimiIWG,CO2,3%,2026,48
MimiIWG,CO2,3%,2027,48
MimiIWG,CO2,3%,2028,49
MimiIWG,CO2,3%,2029,50
MimiIWG,CO2,3%,2030,51
MimiIWG,CO2,3%,2031,52
MimiIWG,CO2,3%,2032,53
MimiIWG,CO2,3%,2033,54
MimiIWG,CO2,3%,2034,55
MimiIWG,CO2,3%,2035,56
MimiIWG,CO2,3%,2036,57
MimiIWG,CO2,3%,2037,58
MimiIWG,CO2,3%,2038,58
