2020,2030,2040,2050,2060,2070,2080
59693.416367598016,90832.11015409553,132047.05674530184,182038.66700673918,229676.0493775734,372952.62057163875,516229.19176570413
100689.28595877886,140974.82841375293,191107.7607417688,245672.79112583428,288795.2569017134,447945.23897172953,607095.2210417457
22148.381568039906,28715.0545024533,36526.28823517496,44715.60611741333,50828.314056350355,77997.11999972985,105165.92594310934
108653.52148377268,149251.86804679045,197651.99614548305,247981.8379530668,284116.99117164843,432139.5024756774,580162.0137797063
42607.011548753304,55115.33286917314,69326.2892834361,83380.12914900295,91701.73677051757,136986.29687252518,182270.85697453277
52797.12712098162,72952.25884455687,98478.4168773123,127106.8072450941,150796.57904301997,236423.97560298553,322051.3721629511
63567.63669735159,84141.78955887056,107806.71786827639,131463.2434543856,146327.42244657982,219197.53198900126,292067.6415314227
51329.658465147455,68326.90609749239,88051.09895484404,108028.27977117707,120983.55644332476,182252.64784615295,243521.73924898112
41800.77645520591,54553.34231326447,69745.18353716299,85594.48520423342,97373.30476718438,149206.56886316818,201039.83295915197
60210.33800388184,89168.59811648258,125897.02681866047,167326.17176103627,202333.73865787144,318747.68135520327,435161.6240525351
85517.50808569192,123694.35049896875,174615.8175949903,235934.1627855426,295399.7035967699,476519.34551841917,657638.9874400685
52048.82454966466,70466.0193802605,92205.52316261198,114650.34961988659,130365.04201777549,198212.4239754299,266059.80593308434
718349.101374627,955651.2134120254,1.2201328545795693e6,1.4734259900546402e6,1.633488677172849e6,2.4895659915949483e6,3.3456433060170477e6
254967.5767302044,341232.6499954433,437621.4473170548,528161.5390121156,575441.1687679394,844458.0458965816,1.1134749230252237e6
16511.823046096106,22711.18082653996,30150.949634091565,37877.92272616994,43925.41702767462,67881.98743733409,91838.55784699356
82296.56004881878,127149.17852690903,187742.63370775533,262230.86219309375,335079.80435308,543191.8609846549,751303.9176162299
27786.39284071066,37811.04272234954,49691.899455552935,61835.076506575075,70965.49443833945,108902.88173154488,146840.2690247503
24865.134974204935,32320.519458277802,41165.01477596955,50248.233209914375,57315.21325047329,88533.07555340425,119750.93785633521
138493.75808998244,186638.69276869233,242673.75987800877,298798.0960272024,334793.450789977,502917.9457139964,671042.4406380159
22444.959032487695,30512.27897893907,39921.58920035801,49457.79467816063,56226.45810622443,85923.83157996055,115621.20505369666
44184.085661860365,59528.41563816625,77782.53323763986,96989.16692534718,110832.59070280388,169680.4839401001,228528.3771773963
705314.3264537557,1.0023516519115922e6,1.3594830499914116e6,1.7524406924274585e6,2.1476886855783877e6,3.4291712885590857e6,4.710653891539783e6
27014.978918485922,36216.9949460945,47452.27044921786,60095.094944788,70975.6958087089,111455.41926547383,151935.14272223876
27688.84168488354,40269.19363737225,56476.47069503651,74766.15528665885,90639.3363927334,143462.43545682647,196285.53452091955
103570.49739962078,140568.83455060117,186342.4747898215,237987.78128421694,280835.2937017409,438710.05888393125,596584.8240661216
37990.46036560293,55715.43447660092,78750.81621645227,104801.69038246294,127503.81672227506,200962.0716509724,274420.3265796697
63476.38184550553,91692.81386726724,127657.70618418929,169470.02402880345,208339.38107363734,332576.597220841,456813.8133680447
66598.92625785824,96466.83007660875,134440.20940981468,177506.30635759348,213477.181771935,334903.8588775505,456330.535983166
11356.656145506888,13574.045957867349,15900.694579913335,17746.744733905798,18454.54022738993,27119.078458373937,35783.61668935794
75330.56714513591,102172.37387589626,133786.36476644909,166212.95082448353,188519.188058975,285020.76459812536,381522.3411372757
150266.92121110897,210591.08571650783,285968.4097752517,369265.5830574986,437342.8785842354,680323.3404799774,923303.8023757195
125778.36869887766,165360.0363523372,208623.66576377765,247786.35962721202,265944.41372080473,386683.7267122531,507423.0397037015
62201.1967610752,85064.97108964589,112682.40739169942,142177.75245160834,165264.4427589171,254922.96327341255,344581.483787908
453829.29854815727,670989.8671404445,947540.0713056767,1.2571794647424684e6,1.5076985574089072e6,2.3387014581712647e6,3.1697043589336225e6
36410.42924977141,54405.29044425725,79013.7687485458,108645.22981761923,137649.14664859322,223276.32905508066,308903.51146156806
47395.424475367596,64407.17473415039,84618.14205571843,105778.73859891045,121313.18807183574,185625.03194378593,249936.87581573613
38396.07284537043,52817.25663784215,70210.18486963594,88857.7372528172,102977.66394222192,158259.0642476365,213540.46455305108
49905.00518284585,69037.05309404703,92764.30228482341,119110.60740588426,140510.32351167305,219663.2245536493,298816.1255956256
806823.6433885994,1.099009054197529e6,1.4311701650812523e6,1.7480565777614112e6,1.9221370235150137e6,2.8273564947395925e6,3.732575965964171e6
630027.9194681305,883760.8353949508,1.1881841041459613e6,1.5035552153613376e6,1.7217509793804882e6,2.6030146937923133e6,3.4842784082041387e6
