2020,2030,2040,2050,2060,2070,2080
47551.941108981475,71748.88233520828,103156.08740793534,136565.20839366468,150993.0786760392,272009.43619592156,393025.79371580394
89931.07214359482,122182.16077949016,159968.65920970563,194231.38026852524,196852.26006023507,333164.8524311856,469477.44480213616
23224.26570075651,29510.33360714,36325.57496818533,41961.606693186026,40593.624233145296,67346.7717506033,94099.91926806129
99012.90565040137,133895.16542872798,173498.5633370672,207490.44343269698,204920.5240702514,338542.44693846634,472164.3698066813
42681.44725026339,53761.32878877959,65369.768689134886,74076.30626760732,69239.49696802774,111278.95441295576,153318.41185788377
51246.73902681168,67935.78962833322,87805.91087875824,105967.30849112202,107828.05729579649,183801.94982660929,259775.8423574221
58999.08448312973,74501.53098032983,90696.15253472271,102490.86778352637,95080.96778447829,150803.61309231544,206526.2584001526
56751.51053810863,73023.45001075542,90588.9342989565,104325.50335374878,99020.32749913055,160180.90578275136,221341.48406637216
41886.17866071102,53233.401915445174,65859.73571133583,76132.91152275422,73707.14434324864,122347.3669204998,170987.58949775095
57840.36248016389,83446.26421531737,114555.90535623339,144365.13867723302,150405.48873884673,258477.0419129352,366548.5950870237
60361.01919460568,86322.40476323568,119703.0100427787,155403.13553573322,171515.29353169104,308818.46265596506,446121.63178023905
49768.11532298759,65381.88495389199,82634.70354203637,96784.52655211026,93643.46534295208,153517.0927927923,213390.72024263252
630978.73201689,806357.0661614488,982913.0310405638,1.1024078078304462e6,1.0207443424630308e6,1.6739485824806856e6,2.32715282249834e6
248116.7593015801,320053.32164350257,394391.2423357972,446264.57854006806,409510.7349055531,637045.9995067009,864581.2641078486
17148.736425294457,22644.698818634995,28857.51265469167,34061.910802097744,33573.81101340302,56170.98031563331,78768.14961786359
57431.20811030569,89365.58356284765,131628.8722984639,177820.6597195098,200580.70243174376,360297.3687158018,520014.0349998598
28203.35672899573,36950.67921953678,46711.062903868245,54641.42295248774,53351.34788305365,88602.22680765184,123853.10573225001
23541.03894211314,29988.403254095887,37282.37652617346,43366.79069030786,42449.33072159952,71472.97108849022,100496.61145538092
