2020,2030,2040,2050,2060,2070,2080
42289.709806921055,53601.785230440524,64933.78589318969,74958.62473644826,80659.6342171966,107794.77970128227,134929.92518536793
94354.05372096476,112946.29626621271,131243.43830421913,145529.15323727124,149929.39086822182,195799.89061100807,241670.39035379433
24092.30444823705,26667.54702776935,28820.793266885154,29946.135123695847,29091.660649601272,37214.94049352391,45338.22033744654
104523.97513789094,126730.35133973454,148173.87072868503,164772.58031397488,169612.90544620706,219725.42853125744,269837.95161630784
48190.09115211026,54844.06187016014,60634.78231848576,64292.507011274014,63318.864973006566,80607.47148392916,97896.07799485174
47156.47724173973,54076.014262656405,60642.80236776877,65326.62834671717,65976.66487576748,85668.59876136931,105360.53264697114
64702.65133600678,75093.45169187686,84575.57038487385,91311.13228169939,91549.83814980563,117416.9676526167,143284.0971554278
46594.24016883347,54355.13349163039,61527.00379071023,66738.13648663409,67024.55878223138,86033.58735493373,105042.61592763606
42134.30561038777,46902.18565559948,50878.605396010455,53056.617446101656,52070.99907845226,66438.0224733101,80805.04586816796
38569.96708004081,49163.42387022996,59836.489896812585,68856.34753948459,72900.81135827827,96004.34381426041,119107.87627024254
87895.00270342539,108944.68187930001,131036.15469959643,149603.8223200076,160072.38991099037,214029.04885054386,267985.70779009734
50277.39528286304,59555.75970955134,68286.6028164575,74751.62269360556,76001.66944171838,98470.41850610593,120939.16757049346
849818.2660090998,1.0195578042662726e6,1.1752973391704333e6,1.2819833844673953e6,1.2825571516280493e6,1.6306898167542052e6,1.9788224818803607e6
279936.9667449909,336398.8059492259,389216.3731939546,427171.3850300127,430654.3975210828,549562.6799891079,668470.9624571329
15704.71900308316,18328.968440644345,20664.731756852336,22084.911886906433,22036.845296931984,28450.823509345923,34864.80172175986
59570.56138688046,75636.3501810485,91844.23124656908,106339.07620391059,115147.61120908555,154228.05037167913,193308.48953427272
30141.564986083074,34349.86090313078,37714.29890671886,39386.42360275644,38596.679548427855,49325.755356424284,60054.831164420706
27601.302113552498,30480.135401591648,32630.053921639,33328.208458802976,32319.557100787057,41126.908956833904,49934.26081288075
123915.16399298066,147176.38240443633,169189.19312583204,185381.5803035654,187718.00310305296,241582.0975398881,295446.19197672326
22925.240646251536,26417.46336700429,29344.191090558554,30973.49627512775,30330.11064311096,38545.73632744575,46761.36201178055
50508.808411061465,58652.93501275258,66095.90743701659,71432.63734776899,71807.98980246989,92731.3985570271,113654.80731158431
841223.826318013,1.075518874312582e6,1.3084025447407467e6,1.4929049059815372e6,1.5522659963567962e6,2.0040478792311451e6,2.4558297621054943e6
32777.36063811754,37491.85473220122,41617.93473633359,44561.26737789309,44916.30563884112,58875.976576538924,72835.64751423673
21842.128674986125,26995.430475841113,32157.198239848378,36358.5563496166,37859.24922392646,49647.693140671356,61436.13705741625
114057.50767731052,132571.75961553602,150082.62074197084,164197.47130027827,168645.2044642198,220869.6196943576,273094.0349244954
32567.58866173924,40999.143929936596,49820.77252517788,57593.849673259334,61743.96062915981,82291.02529644118,102838.08996372254
