2020,2030,2040,2050,2060,2070,2080,2090,2100
31244.605634172458,38553.086036952154,46666.891216242846,55711.66176841924,65462.4663094179,75244.87110551783,84904.64187551315,96298.92988417951,108527.8121301255
43962.58799847909,57495.80237140789,73835.9981354337,93354.06675398046,116392.76303001116,143051.95200164814,173375.53873825748,207163.56794932467,244002.7371801925
85071.45813344908,103468.55356696332,124034.62951910378,147040.39318763666,172563.33272870182,200314.53273781482,229915.29947030303,260827.2210877501,292372.7584120359
87575.83348428665,108240.87391464095,131190.26552409874,156661.98975298755,184565.63325756777,214981.84338197316,248246.57309298438,283232.9268262731,319047.6747915608
42894.31386399168,53057.86102818269,64143.24842621852,76456.10532493312,90396.53478516663,105999.59407500358,123131.48734270813,141574.99533169967,161091.82342160537
43122.81205311727,52620.940801422075,63023.33102576421,74621.62065495148,87458.94378602045,101609.29194544705,117211.73343722867,134455.34851254238,153660.83786245756
85901.30307276732,113958.37994058413,148508.33264638355,190545.21166076153,241135.56748660473,300969.00016210874,370301.1520160606,448835.5814234904,535680.4340567426
10758.864605118992,14396.616032109912,18480.581816354417,23135.159767790177,28532.065719363873,34619.815969959665,41293.55337962982,48390.57984070305,55770.709734406664
72823.11532688569,90926.26742701631,112288.19873312295,137291.90570325943,166275.00476007815,199421.39411434587,236750.32583250492,278058.86142497463,322963.7370760252
105124.52339608688,127394.88806467075,152371.2197510377,180423.2900571261,212616.08474674908,248616.84916982026,288153.4718550229,331015.40320968814,377036.42572821106
73281.64405326027,90719.9185874186,110755.25426770249,133797.21289771178,160108.39401500265,189637.31651690076,222179.56972160737,257306.463226651,294365.86262444453
77933.26725412614,94856.56827985027,113433.70045234912,133906.75162946517,156330.46115997282,180425.7020993086,205896.15461998706,232302.13424041777,258982.7869608193
112225.62172178936,141090.8207542471,174492.28042848437,212877.2153629087,256540.28205484478,305426.2061823877,359319.31713051104,417774.64280663175,479906.0198570112
47429.677868756386,60463.438724514504,75363.11282065904,92423.50988618747,112048.76046056587,134278.48674977216,158996.8447049086,185956.5442574265,214916.3403610595
118737.26368433515,142574.8094395584,168136.08763625508,195774.88392276733,225671.41132271694,257560.4013975836,291064.68885800097,325686.22302107234,360852.1874049782
44800.38008533986,55752.09911226977,68043.31367902935,81803.69782352376,97165.86346579393,113642.41285343838,130772.99893384974,147866.07257267082,164902.54815619806
91152.04169203294,117782.54661640107,149891.71728629328,188124.93358028276,233114.82014890574,285139.8505442504,344121.0242058504,409570.62792835315,480549.9645710145
33954.288677641955,42723.82920477937,52411.1299836077,63041.831664995305,74686.68270910002,87134.52041280601,100260.23547491185,113768.6105437545,127328.54428297072
111591.87820592435,142858.9536339498,179227.65976078925,221310.75257964534,269272.5627193839,322225.55789519363,378724.5748007614,437465.10537535994,497253.9530687316
53286.15964926736,66448.45523597585,81776.53697122616,99516.70882254187,119922.53374344233,143089.60362975713,169015.6964666875,197563.08869586582,228500.82163935658
55115.86104681251,71688.64713397848,90901.19848444487,114956.52355032164,143836.75231952392,177453.89926547263,216056.55786056287,259782.0217173655,308225.4031883315
14926.45002187305,18902.56511497204,23425.66604567983,28453.806164561007,34066.32989420812,40313.450120630274,47283.065607830846,55086.24981328791,63930.21667421819
10702.481348687017,13914.886886545966,17721.07672498647,21960.57547553604,26791.77513439464,32190.795065058297,37832.236702577364,43553.5641586733,49008.272843789215
83351.5010193961,104352.0279402071,129195.6579073034,158304.20317272368,192109.31029058073,230696.45483573325,274016.11239980755,321783.4312966827,373379.1893024329
38817.16750575682,50997.733805708405,66035.25132474265,84471.98055917535,106999.11832975566,133925.36393292333,165485.21052763256,201789.87330450676,242823.78556881208
