2020,2030,2040,2050,2060,2070,2080,2090,2100
23992.089246723142,29560.986645164103,35723.30872514809,42590.4443092355,49976.34972616997,57394.0089838489,64775.90127880325,73442.7139577872,82730.38363484673
33916.181706300114,44288.06767766598,56800.25747924212,71730.88861763496,89327.53575374566,109659.35014827212,132744.6549642847,158436.19943794052,186413.27990322685
65229.891842101024,79247.53875725999,94915.1520432561,112428.72615108291,131831.05740500693,152895.91892178165,175334.58884681042,198732.95028208118,222583.6880220714
67229.7769450606,82966.08280173883,100438.91031540012,119817.49369414532,141037.5783967394,164166.7400956647,189397.42180126876,215892.365879558,242986.3840987022
32924.98907767812,40658.292497198076,49104.13237224199,58495.76780139459,69122.42958986506,81002.76202089623,94036.11931937968,108066.45078067001,122949.53230645989
32971.564144931166,40153.8482946939,48011.666570747664,56757.221030132074,66401.57948682645,76978.03572255539,88551.44817574881,101194.89671461345,115029.6877168007
66375.51491683575,87913.09404367131,114405.28005540655,146604.29405784648,185299.36933423873,230990.46297759537,283842.6738047117,343610.3699061869,409575.97896720126
8298.21488350833,11078.146081679703,14195.191275220597,17751.301210884165,21859.96631115193,26501.556283312613,31571.501607147035,36946.53082517751,42506.00050717895
55969.65288917023,69819.16452625372,86149.78518655465,105248.7500509876,127363.92606355646,152625.7206035347,181038.18400978728,212438.64790773086,246527.37807533116
80586.94293839703,97562.04272260443,116602.61713301399,138007.61811469868,162532.90754348002,189922.9022453547,219977.38365352212,252540.16484818206,287496.1064320887
56272.54200500175,69586.05235936683,84880.40227380443,102458.13792193633,122503.66275235474,144969.60853054325,169691.34810258722,196335.4546329196,224407.12918833512
59751.37660901458,72627.52284199602,86762.97649559638,102331.83103561787,119360.98210674625,137634.1881027808,156938.14318344003,176910.54430381668,197064.15360324297
86292.84149405615,108342.21733926352,133841.5672833563,163121.69642964183,196390.3326280002,233597.59969223806,274564.8438589,318953.1230284121,365992.26869955205
36507.59125585608,46457.5841831545,57833.35137945387,70860.42608900007,85830.85694097176,102766.70015724051,121578.23966092925,142083.19653416786,164090.00622069635
90943.09652422482,109053.1049929966,128480.07511020085,149483.71313155195,172181.15706839622,196365.61906240793,221746.87599258428,247945.1468955954,274527.9305082407
34414.617408476624,42762.600915844545,52113.75714114153,62608.66215012517,74313.74342576253,86840.2100629183,99667.17156121384,112730.09175246669,125654.42606105935
70266.18658788902,90673.07583488936,115252.10141829432,144488.2615233835,178843.48410366123,218510.03586520348,263408.6441425047,313150.9693537211,367001.4928526787
