2020,2030,2040,2050,2060,2070,2080
18462.1868272008,29102.609073314157,43890.68503684399,60499.84734216897,59836.01812702738,130382.80304757584,200929.5879681243
37663.38794232937,53382.10494336059,73751.45966308244,93273.21007834894,84001.7616054178,168087.54160997082,252173.32161452383
10518.444931171507,13486.63985591926,17045.49247547701,20032.989072486947,16954.04351645335,32933.199855052575,48912.356193651794
43345.3118236343,60648.496365887135,81946.63957964387,101086.93828262042,88384.5348634093,170753.78959073103,253123.0443180528
19106.522689086392,24611.020370616585,30956.194124778354,36048.14891689095,29675.35934514401,55479.53814529123,81283.71694543846
22824.198306041264,31349.436892811493,42500.61961751183,53301.95127130375,47877.90616289349,96662.03331425137,145446.16046560925
32229.898480415286,42343.008227228886,54091.29992129573,63629.20724823692,52862.88307432649,98437.21845129038,144011.55382825425
26563.944298637394,35074.83635104881,45038.221477692954,53262.75174967103,44504.76939347177,83714.08610064481,122923.40280781785
19003.26352736261,24631.629253539282,31421.25680997543,37183.23008759213,31640.409770971393,61467.82530890443,91295.24084683746
24526.137371773293,36879.172867940346,53034.55187022301,69172.39385993892,63945.39869080412,130178.25418836244,196411.10968592076
23709.99314343496,34714.96952039186,50565.07271289473,68613.05842237949,68838.31086356744,150906.91297749776,232975.5150914281
22732.597885735202,30833.58667022849,40584.096535183766,49034.08690972048,42003.49970549611,80703.84584387593,119404.19198225574
292318.0015569921,384903.0190695,486337.61802362616,558788.2134656551,452343.27465291263,874360.7379122602,1.296378201171608e6
110779.38693603002,147196.96473947118,188278.4206057181,219288.81526989152,177660.67163946707,316520.40826722136,455380.14489497565
7570.516963778711,10274.684702632967,13577.46833698146,16405.88218414753,14241.692954797483,28029.287117050706,41816.881279303925
21231.035898003156,34729.825064775505,54257.46443762937,77049.38743411345,78736.87756985685,170548.09427701274,262359.3109841686
12416.007662816375,16672.049083924176,21810.513764835912,26118.324761854485,22438.233754750767,43716.24743771033,64994.26112066989
10532.81709624732,13550.478133792003,17196.66972435918,20193.16124137,17221.82464953566,34032.20352433933,50842.58239914301
76192.24519539584,101436.82853540685,131007.46688293434,155106.0684846355,129361.05256210647,240986.94989428704,352612.8472264676
10103.66305567765,13575.991462650827,17696.47050931848,21133.753134970855,17965.54696370505,34754.109339433475,51542.67171516191
18035.469356962072,24236.22175614636,31827.326906109036,38654.1259300933,33438.126037555514,65358.254526008175,97278.38301446084
191597.7458538596,284155.1180149429,394716.1965974325,493277.6192934553,480466.82273799664,1.036997174240067e6,1.5935275257421373e6
10155.799323964848,13464.087659683837,17597.8758387532,21620.754072322776,19487.38663134147,40094.86353463906,60702.34043793665
9912.188448949224,14595.375504816824,20901.452559477573,27232.407280107644,25389.88169243943,52590.426253160236,79790.97081388104
37896.398678699,51663.28323185773,69252.93497243726,86691.86787982188,78361.41870019803,159260.65140432733,240159.88410845664
12915.670857393688,19552.83572982904,28652.62281853472,37944.96514515148,35918.435426981276,73979.46008285477,112040.48473872826
19402.76443987494,28662.844851358364,41101.150097831596,54350.23171588826,52625.912191065865,112489.64288241418,172353.37357376248
24570.78272478648,36490.53864581915,52244.28395741226,68271.37278402854,63298.342140390036,128912.99106744284,194527.63999449564
6190.380278140297,7240.970756862642,8332.7012793816,8832.823110641717,6687.620972966677,12131.159813881695,17574.698654796714
32158.861952472344,43963.554911979336,58228.04305716827,70658.99976347949,60720.000589905896,115773.6651847869,170827.32977966793
54131.999921535076,77471.6226019727,107878.20746662341,137709.35010300466,125761.29632512628,253313.95873102424,380866.6211369222
48280.501440511835,63970.939322285565,81545.99892311764,94474.98530717165,76021.1978589448,133686.272092084,191351.3463252232
22684.91251093247,31478.968459962412,42429.82051613107,52497.996069271365,46614.192098614505,92623.92495962813,138633.65782064176
139190.9243427162,214905.41404142394,316144.2843937916,419295.12861758936,390347.7790304937,775120.6005021429,1.1598934219737921e6
12923.790766291655,19321.784972474503,28608.693652440154,38819.7318229275,38401.82134997192,83026.47727489816,127651.1331998244
21604.63509790625,29277.308483957942,38527.06335000962,46598.84729064012,40119.03753372083,77671.13958693732,115223.2416401538
15086.12221456779,20852.75381439063,27987.321509609694,34569.37171031085,30424.814323014183,59832.95456503759,89241.09480706099
18275.77155636414,25588.808621976666,34986.14659920753,44167.81640909681,39885.70940762357,81039.93650432758,122194.16360103159
320320.62989694957,436553.5178921684,570244.5494668221,674499.9861655657,552608.5833229618,979801.7645376284,1.406994945752295e6
253461.1576355777,361317.02982969675,494612.7739823778,614459.4380284795,535418.7919920291,1.0161153892931235e6,1.4968119865942178e6
46425.43649888297,71872.58228076158,106626.07898793195,143780.45302821993,137975.39881936714,287700.30094955955,437425.2030797519
103196.96346551889,136274.4278459322,174385.25580302224,204590.12919345408,168671.56070592432,310073.2616632035,451474.96262048266
6521.936941920152,11084.137133156744,17514.98464129852,24628.634299645884,24717.778150281338,54351.60236918689,83985.42658809244
378243.8476611009,540347.1901595406,732430.2931798261,891154.3340177307,744114.5428010032,1.3091449657999205e6,1.8741753887988378e6
8713.1463588932,11421.66447131534,14599.693127296508,17278.912432962676,14550.406518453858,27995.178089144025,41439.949659834194
151360.33574621147,206215.40965756096,271026.97892550565,324641.19106216205,272935.0907443074,506997.49608973606,741059.9014351647
60489.151228198505,89713.69611343823,129041.07085015383,168831.87086586366,156750.8996468652,317878.76471694675,479006.62978702824
258207.63909829018,377066.6055683516,521706.166228266,648035.3558090711,555897.2249379439,1.0155911223509682e6,1.4752850197639926e6
15602.357113714017,22179.220580568184,30764.381045795726,39398.61527539237,36475.859040053285,75088.00159222636,113700.14414439943
38887.98483494421,51734.906481353304,66896.56876979966,79638.69222953379,66903.71687395287,126114.29039057414,185324.8639071954
106632.61902344694,144569.22586677817,189285.86984128182,226251.7256674124,189504.73215233642,350146.1471278196,510787.56210330274
11135.886345383826,14956.212297511242,19439.16250313154,23154.934752610625,19457.83307285955,36933.33309591241,54408.83311896527
13657.866709987251,18296.93344684337,23959.677464986333,29186.43781760431,25392.15370545105,49643.63626525084,73895.11882505062
479195.57857965253,648769.1276656234,842938.1324885574,993647.7049621388,813580.618905257,1.4549871687180568e6,2.0963937185308563e6
15029.072169013118,20656.239566257154,27599.587894512435,33895.71636907769,29710.34392185648,58235.4926916088,86760.64146136113
25122.99672630474,36117.28115001333,50518.400518048606,64809.45263005971,59600.94150828606,121563.17802254925,183525.41453681246
344215.1619323457,500468.95114711724,689849.3566735605,852108.6373381057,722594.678203787,1.2961279448648654e6,1.8696612115259436e6
134570.70410700922,187761.52361539772,251417.74193900396,305569.9054556301,259901.45307872485,484385.99094647134,708870.5288142179
31779.85984126897,46261.56749185069,64427.2470752836,81689.09929449264,73111.1395849014,144229.5183127849,215347.89704066838
79440.52225490526,117032.94558170908,164700.387932412,209892.31269600472,187909.88115184265,363739.8393199925,539569.7974881424
10322.450451668588,14799.462374092867,20449.342672328516,25761.49620197312,23070.827001935137,46019.86753628003,68968.90807062492
19653.01931766282,28239.087622180596,39481.11641706316,50598.75722940133,46277.74295955499,93162.91574074369,140048.0885219324
172793.7891260035,232704.33022430458,302783.7995496177,358566.4371444127,295568.65979791974,535364.391837372,775160.1238768242
62213.574743786005,84448.60810703554,111067.04784789977,134477.42269171632,115308.32734819695,219247.53951454957,323186.7516809022
505667.701948477,694096.7180901727,895068.0571634417,1.0249133810286454e6,790887.2934737424,1.2938849818407963e6,1.79688267020785e6
15511.234148285077,20096.40671718592,25538.924521541398,30046.158733936307,25152.340543475002,47936.19258109242,70720.04461870984
12595.107451678843,18860.756093033375,27420.850168371362,36569.152319075816,35102.44187461392,75154.09948883834,115205.75710306276
69882.06775984458,97754.1226958964,132105.23977561024,162963.35495267715,141766.21362980234,273176.6814855152,404587.14934122807
40402.439685064055,54289.381233362605,70686.18542413138,84557.59109519511,71377.28136925536,134942.31735972315,198507.35335019097
