2020,2030,2040,2050,2060,2070,2080
43200.433529341884,63708.164697714165,89259.0716364358,115200.76787618868,126094.21057331054,211669.10414041023,297243.9977075099
81424.34028904424,109036.29084449353,140530.28008987702,167673.3619728254,169074.93691289812,268694.90155979927,368314.8662067004
19696.416382126423,23981.006383719396,28509.780987300004,31889.70698840584,30679.595927982275,47923.7981142211,65168.00030045992
88451.80786840175,117062.08591744624,148182.8313711959,173389.6045585058,171026.66720116892,266117.7235864,361208.779971631
38777.660993784,47641.71278356634,56566.76240608049,62775.74954859649,58686.435031899484,89119.40630278713,119552.37757367478
42682.1342509006,55056.40455691056,69271.1766561528,81677.66597434905,82029.63550864354,131088.17991528858,180146.72432193364
57049.66937000652,71270.24069036648,85790.99972472533,96225.36828923861,90948.90741285813,138405.4611226968,185862.01483253553
44342.45890904722,55744.494861794155,67529.14554703415,76239.75645971212,72520.16083615556,110952.51135700216,149384.86187784877
36273.743869917766,44605.15435609338,53383.04035522082,59985.58499925851,57696.335157392496,89922.48794391431,122148.64073043612
46129.9193663615,65371.82888029112,87794.1014952705,108449.38792898024,112860.01614669776,182443.9029930258,252027.78983935385
61709.01385329035,86959.28065421141,118699.50553260182,150515.6023290849,162754.55540859958,268973.9405758713,375193.32574314304
42795.92204783813,55040.081236312384,68016.37666439825,78076.89628627761,75680.49300492922,117220.77850490814,158761.06400488707
612122.8881566394,774469.9361028399,933928.4383802887,1.0393225720044147e6,977743.9513426624,1.525239695794153e6,2.0727354402456437e6
227339.80769061888,289665.17600877484,352090.43101385824,394040.0685148196,366308.53358917026,544027.0533157891,721745.5730424079
14512.251039156728,18643.179858293188,23055.625952829323,26391.794891987316,25828.57065688049,40533.57368521833,55238.576713556184
57857.70944813411,88052.26178910329,126749.03152210248,167991.9113961316,188939.42131470266,318439.7644862565,447940.1076578103
24713.799984864207,31495.842489299404,38645.91708724331,43916.64652366377,42614.13048420576,66483.16402064258,90352.19755707942
22238.30120568307,27340.49961824465,32722.804088852674,36697.82482066818,35474.00079091579,55939.0784172164,76404.15604351701
123467.61344040449,157070.9421852551,192046.54480646946,217817.7828978382,207690.0645931285,317044.5229229637,426398.98125279887
19695.422207613985,25105.464515655935,30714.708706519243,34834.24042322033,33509.54391143821,52099.35140437311,70689.15889730802
38927.49519890713,49688.1822350343,61234.892654123745,70506.11558979418,68600.82585116352,107284.38134327755,145967.93683539156
506961.63804711774,710988.6186072972,933983.5542967874,1.1251907690308369e6,1.2021332456681754e6,1.978816165238163e6,2.7554990848081503e6
22314.287289660966,28341.651437520464,34946.61828722372,40727.466785292505,40898.44431617235,65655.10514357795,90411.76597098356
22060.823498436617,30626.88037840831,40832.29238730714,50229.30311196819,52518.951794223365,85355.41169949205,118191.87160476073
84061.73306816128,108616.38043738873,136226.96682543654,160900.15936401885,162478.39125748407,260125.28451305378,357772.1777686235
28349.960252163626,40186.67275534067,54494.07394159448,67759.9665189501,71420.71251552041,116183.30002203191,160945.88752854342
47966.60930415383,67006.967273739,89452.09797582556,110755.63829884969,117511.77408317832,192804.1611107526,268096.5481383269
49839.47830757661,69465.47374423804,92466.6069673468,113856.54188470641,118100.87665488366,190216.7970071471,262332.71735941054
13381.215504779902,14715.208926504189,15634.898778779801,15391.91772649134,12889.872876433687,19037.06510856072,25184.257340687756
62475.72937728391,80928.28062839896,100598.5471422198,115958.00249928515,112649.92840234467,173752.18263430038,234854.4368662561
117501.26138116138,158519.1931276758,205633.19012276424,247322.0128899464,252147.75899943698,402032.06937388727,551916.3797483376
104529.00954128672,131867.37239315064,158483.74849217533,174863.6960450933,159701.0023193414,233899.77522599525,308098.5481326491
52069.72125983518,67842.52420161843,84921.50257659178,98658.33486819586,97348.98202308005,152767.29180273582,208185.60158239157
336545.3027972058,486075.33748900285,663913.4201930722,829458.9314381686,863979.4163880682,1.374572884564815e6,1.8851663527415618e6
28080.958454345888,39582.23047817597,54267.24420895813,68975.53071332474,75398.43100642946,126121.61900129895,176844.80699616845
39219.37290861489,50628.55592906981,62852.792316279454,72610.24479585249,71120.84637611842,111013.94111667742,150907.03585723642
32209.80837713196,42303.14312032137,53351.60633822233,62563.601482871665,62078.97347340512,97488.78175631043,132898.59003921575
38652.16987940707,51164.16450787676,65343.63314361166,77888.23410985501,78881.55317843898,126224.6924418949,173567.83170535084
674357.1666240679,878483.9050242823,1.0876198697516304e6,1.233993904140086e6,1.1584491019779164e6,1.7212513070406513e6,2.284053512103386e6
492017.75957408483,663650.5135500416,852196.4553914211,1.0063076462654668e6,993297.3493823985,1.5369910501308653e6,2.080684750879332e6
104517.0108921209,150507.64755992335,205782.0003829686,259094.54152255223,274601.2442261628,446809.182117692,619017.1200092213
173825.26566941108,219034.49646026437,264943.076903509,297117.03515470115,279237.04355727945,421320.4516729985,563403.8597887176
16185.24114161196,25310.269600309955,36652.71497942125,48088.061542242875,53201.106502909286,89750.81498707645,126300.52347124359
755003.1228807531,1.0086116030812218e6,1.2697098830177796e6,1.4615479123299094e6,1.4208162994286972e6,2.2978768153657108e6,3.1749373313027243e6
17011.94227074937,21071.407817143358,25186.89810596114,28166.5642039808,26681.59994614481,41146.992680955154,55612.38541576549
284798.4522282406,368474.2558347998,455429.0647927014,518786.753029413,493862.9078973948,748295.3957136376,1.0027278835298804e6
125031.0545026979,173443.0650039721,230869.41736400616,283220.8622393509,291864.8913176747,466289.0024876457,640713.1136576168
504482.3355317773,687443.3090417681,882072.3503149002,1.0342031614798125e6,1.0230408941196321e6,1.6576879706781697e6,2.2923350472367075e6
31663.795700727533,42052.3050884179,53938.436329001845,64776.22824730317,66842.08479555984,108480.97444173368,150119.8640879075
77760.30723243208,98702.73573769386,120573.56176456551,137085.91780385046,131092.71169615985,201004.20125554487,270915.6908149299
216869.09120719516,279567.77892219624,344556.27598979627,391769.23534116475,371507.9010551811,560908.0795078648,750308.2579605484
20169.48312378163,25845.882527673417,31726.333258458097,36090.26444196981,34516.92591890851,53089.61770060626,71662.309482304
27012.958451052305,34301.372659373614,42181.16908451226,48813.79158173321,48018.45173199166,75290.3323294517,102562.21292691174
991208.997053328,1.2819013355443303e6,1.577233302862756e6,1.7812282999254505e6,1.6679011035703002e6,2.480728565583782e6,3.2935560275972635e6
31523.991644229372,41025.940978285136,51323.42891730854,59661.57989630563,58775.56710498244,91983.17350351294,125190.77990204343
60548.99036036014,82385.17950818263,107506.61400129505,129834.03120811873,132574.80121194856,212061.2603454324,291547.71947891626
714883.0268051033,970671.9976550598,1.240503993571552e6,1.4460500406017913e6,1.4176283550909297e6,2.293311738693907e6,3.1689951222968837e6
308125.26993124874,409662.807692352,518643.2461166689,604230.4298707303,588739.1690074675,905090.4362637552,1.221441703520043e6
63629.500799231246,87323.45334234403,113622.98345859195,136292.88729573373,137202.3205560492,216427.82115605252,295653.32175605587
197980.65250682118,275357.80537810177,363018.47067807504,439262.94375160296,444550.84615676303,698444.2487944766,952337.6514321902
21608.843615050515,29335.948153787886,38029.11508858904,45607.92586535082,46138.7990058095,73417.17479298901,100695.5505801685
44150.59617596729,59771.019628630405,77777.79081521834,93781.26752543899,95590.82666779903,152174.60743820967,208758.3882086203
369815.3824951233,475768.35948426026,585372.4438685495,662313.3246002358,621602.1685570239,928716.3261541642,1.2358304837513044e6
110823.94267871583,142966.2895627806,177327.70789383134,205283.9251378019,200993.43545197154,311959.4021773979,422925.3689028243
1.2019846694252214e6,1.5600465617259475e6,1.8885142562462348e6,2.0507794665913144e6,1.788722333248263e6,2.4907876367099797e6,3.1928529401716967e6
26333.257317162737,32151.888470388636,38147.421712704774,42447.97836895756,40063.17739080991,61610.21343423813,83157.24947766635
30295.866752278962,42698.76892815187,57650.64305700808,71837.69262119228,75854.66549656086,124629.17044377189,173403.6753909829
135929.37427134943,180165.3132174474,228439.535167052,267542.90602028207,262830.12367706205,408091.25134977454,553352.379022487
74293.72668592384,94886.02040443438,116339.52017419088,132590.7245358352,127077.72932992487,194988.21253355104,262898.6957371772
518414.85981027357,692494.2833446369,875578.70331333,1.0110945912884914e6,963770.861364929,1.4425013117784327e6,1.9212317621919364e6
87818.61542597352,112647.9768840674,138543.65595307614,157484.2975790123,149933.59020081715,227830.95603311335,305728.32186540955
178588.3756563866,252869.47376813923,341002.53009982244,423698.4158293781,441888.41210672597,701060.6465125654,960232.8809184049
25275.478209010456,36759.88063389909,51015.777665784684,65680.35896610992,72256.43356870108,121555.0318955855,170853.63022246992
91434.60728601692,122614.57684022219,157256.420641086,186309.56191333162,185675.60671914925,291104.21142637794,396532.8161336066
715428.5273137251,956068.4356816267,1.2142333083748363e6,1.4142695586031117e6,1.3687755967456563e6,2.0803271285995687e6,2.791878660453481e6
221252.34465332888,301799.5803564429,391753.46361054777,466841.4343186682,464571.47886578226,723056.2077901838,981540.9367145855
208372.88147817936,288438.97658900655,379208.12047492806,458171.41922020516,463211.04128212424,728635.5196794376,994059.9980767511
28896.240852425435,42591.86180384129,60588.15016750808,79002.53600054455,87825.57912185752,149350.98055052626,210876.381979195
20299.193882070074,27195.986465542268,35187.3674533953,42179.37522934783,42939.6137290492,68564.12034190158,94188.62695475397
30910.21086343576,42264.43777470426,55051.01975785723,65998.97797640282,66604.29361636397,106087.73217025437,145571.17072414476
332486.79228301864,467574.36299310334,623841.0053905739,756103.8071106707,752887.0611373748,1.1340099182792301e6,1.5151327754210853e6
21021.63183180113,26361.827934351415,32453.017593649576,37898.517954046016,38289.04583551049,62232.091282562375,86175.13672961426
174915.79323384466,225599.38784688254,278165.31772225734,316870.2696455933,301559.00307516684,456285.4413886214,611011.879702076
55504.178241678695,70490.0173695617,86726.11875322934,100149.21516769387,98389.37930208555,153791.5144325553,209193.64956302504
144613.52129456447,193718.05437552763,248642.61745235085,295416.6130271873,295815.5906636528,463174.23438180424,630532.8780999556
101008.5776257659,143017.2074603645,192317.82429585623,237809.3095205178,245366.61754147793,377888.4448965165,510410.2722515551
225206.5397461871,301817.33999334474,386199.989641424,456037.0478197446,451708.4133218674,703024.4869472733,954340.560572679
825930.2911391413,1.0819879400001348e6,1.33700370302986e6,1.5042518718847106e6,1.3895521358326052e6,2.0375597762111165e6,2.685567416589628e6
370014.35419420636,498179.21256701584,635591.3705775593,741857.0377461707,717347.9518353096,1.0896685325465878e6,1.4619891132578657e6
18706.30411072594,25556.43405230908,33336.2370782439,40189.877809190875,40797.24078519467,65160.22152135208,89523.20225750949
54201.28907110891,66855.0667691491,79875.55631964713,89588.0359899574,85067.1916731982,130302.59575668946,175537.99984018074
31902.09605647577,36215.37768176695,41405.24934302383,44786.02206884273,41334.76757058276,62931.19524014573,84527.6229097087
84036.94919417387,112987.44733903733,145301.86720366633,172026.91866365046,171454.19887821123,269315.1024918371,367176.00610546296
132568.83432781073,175056.46197420056,221123.0656158748,257866.39667718188,252458.0071347439,390102.9042615171,527747.8013882902
250865.1433980241,314549.87385944807,378176.25401915814,420966.21207112545,391278.0512600049,584832.2589034786,778386.4665469523
225883.7301235071,300651.10968688823,380914.07546285447,443636.3722160584,431664.89014091477,664197.8322250192,896730.7743091236
260462.2909797046,350680.11442104663,449093.7577299826,527961.7439407676,517178.18996649596,794542.91117515,1.071907632383804e6
49348.008813498374,62088.48241891025,75621.2654602746,86361.85161080398,83531.40267033619,129333.75960896218,175136.11654758817
7184.764900494785,9148.900601172843,11384.292889201115,13054.654535656347,12813.250424239954,20708.04967391067,28602.84892358139
281276.7159900523,371515.2187916424,466609.85800853226,566132.0050064069,575908.1766851962,919067.0149916192,1.262225853298042e6
130116.83044333171,172749.90243182424,219607.06915161776,257948.39966707243,254021.3321132727,392978.60759478196,531935.8830762912
137754.03574110186,187877.82730065394,245107.4223678941,295678.4180758196,300355.2265583848,476142.13376955816,651929.0409807316
