damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG_FAIRv162,CO2,3%,2020,49
MimiIWG_FAIRv162,CO2,3%,2021,50
MimiIWG_FAIRv162,CO2,3%,2022,51
MimiIWG_FAIRv162,CO2,3%,2023,52
MimiIWG_FAIRv162,CO2,3%,2024,53
MimiIWG_FAIRv162,CO2,3%,2025,55
MimiIWG_FAIRv162,CO2,3%,2026,56
MimiIWG_FAIRv162,CO2,3%,2027,57
MimiIWG_FAIRv162,CO2,3%,2028,58
MimiIWG_FAIRv162,CO2,3%,2029,59
MimiIWG_FAIRv162,CO2,3%,2030,61
MimiIWG_FAIRv162,CO2,3%,2031,62
MimiIWG_FAIRv162,CO2,3%,2032,63
MimiIWG_FAIRv162,CO2,3%,2033,65
MimiIWG_FAIRv162,CO2,3%,2034,66
MimiIWG_FAIRv162,CO2,3%,2035,68
MimiIWG_FAIRv162,CO2,3%,2036,69
MimiIWG_FAIRv162,CO2,3%,2037,70
MimiIWG_FAIRv162,CO2,3%,2038,72
MimiIWG_FAIRv162,CO2,3%,2039,73
MimiIWG_FAIRv162,CO2,3%,2040,75
MimiIWG_FAIRv162,CO2,3%,2041,76
MimiIWG_FAIRv162,CO2,3%,2042,78
MimiIWG_FAIRv162,CO2,3%,2043,79
MimiIWG_FAIRv162,CO2,3%,2044,81
MimiIWG_FAIRv162,CO2,3%,2045,82
MimiIWG_FAIRv162,CO2,3%,2046,84
MimiIWG_FAIRv162,CO2,3%,2047,86
MimiIWG_FAIRv162,CO2,3%,2048,87
MimiIWG_FAIRv162,CO2,3%,2049,89
MimiIWG_FAIRv162,CO2,3%,2050,90
MimiIWG_FAIRv162,CO2,3%,2051,92
MimiIWG_FAIRv162,CO2,3%,2052,93
MimiIWG_FAIRv162,CO2,3%,2053,95
MimiIWG_FAIRv162,CO2,3%,2054,96
MimiIWG_FAIRv162,CO2,3%,2055,98
MimiIWG_FAIRv162,CO2,3%,2056,99
MimiIWG_FAIRv162,CO2,3%,2057,101
MimiIWG_FAIRv162,CO2,3%,2058,103
MimiIWG_FAIRv162,CO2,3%,2059,104
MimiIWG_FAIRv162,CO2,3%,2060,106
MimiIWG_FAIRv162,CO2,3%,2061,108
MimiIWG_FAIRv162,CO2,3%,2062,109
MimiIWG_FAIRv162,CO2,3%,2063,111
MimiIWG_FAIRv162,CO2,3%,2064,113
MimiIWG_FAIRv162,CO2,3%,2065,115
MimiIWG_FAIRv162,CO2,3%,2066,117
MimiIWG_FAIRv162,CO2,3%,2067,119
MimiIWG_FAIRv162,CO2,3%,2068,121
MimiIWG_FAIRv162,CO2,3%,2069,123
MimiIWG_FAIRv162,CO2,3%,2070,125
MimiIWG_FAIRv162,CO2,3%,2071,127
MimiIWG_FAIRv162,CO2,3%,2072,128
MimiIWG_FAIRv162,CO2,3%,2073,130
MimiIWG_FAIRv162,CO2,3%,2074,132
MimiIWG_FAIRv162,CO2,3%,2075,134
MimiIWG_FAIRv162,CO2,3%,2076,136
MimiIWG_FAIRv162,CO2,3%,2077,138
MimiIWG_FAIRv162,CO2,3%,2078,140
MimiIWG_FAIRv162,CO2,3%,2079,142
MimiIWG_FAIRv162,CO2,3%,2080,144
MimiIWG_FAIRv162,CO2,3%,2081,145
MimiIWG_FAIRv162,CO2,3%,2082,145
MimiIWG_FAIRv162,CO2,3%,2083,146
MimiIWG_FAIRv162,CO2,3%,2084,147
MimiIWG_FAIRv162,CO2,3%,2085,148
MimiIWG_FAIRv162,CO2,3%,2086,149
MimiIWG_FAIRv162,CO2,3%,2087,150
MimiIWG_FAIRv162,CO2,3%,2088,151
MimiIWG_FAIRv162,CO2,3%,2089,152
MimiIWG_FAIRv162,CO2,3%,2090,152
MimiIWG_FAIRv162,CO2,3%,2091,153
MimiIWG_FAIRv162,CO2,3%,2092,154
MimiIWG_FAIRv162,CO2,3%,2093,155
MimiIWG_FAIRv162,CO2,3%,2094,156
MimiIWG_FAIRv162,CO2,3%,2095,157
MimiIWG_FAIRv162,CO2,3%,2096,158
MimiIWG_FAIRv162,CO2,3%,2097,159
MimiIWG_FAIRv162,CO2,3%,2098,159
MimiIWG_FAIRv162,CO2,3%,2099,160
MimiIWG_FAIRv162,CO2,3%,2100,161
MimiIWG_FAIRv162,HFC125,3%,2020,115431
MimiIWG_FAIRv162,HFC125,3%,2021,119419
MimiIWG_FAIRv162,HFC125,3%,2022,123406
MimiIWG_FAIRv162,HFC125,3%,2023,127393
MimiIWG_FAIRv162,HFC125,3%,2024,131380
MimiIWG_FAIRv162,HFC125,3%,2025,135368
MimiIWG_FAIRv162,HFC125,3%,2026,139355
MimiIWG_FAIRv162,HFC125,3%,2027,143342
MimiIWG_FAIRv162,HFC125,3%,2028,147329
MimiIWG_FAIRv162,HFC125,3%,2029,151317
MimiIWG_FAIRv162,HFC125,3%,2030,155304
MimiIWG_FAIRv162,HFC125,3%,2031,160373
MimiIWG_FAIRv162,HFC125,3%,2032,165443
MimiIWG_FAIRv162,HFC125,3%,2033,170513
MimiIWG_FAIRv162,HFC125,3%,2034,175582
MimiIWG_FAIRv162,HFC125,3%,2035,180652
MimiIWG_FAIRv162,HFC125,3%,2036,185721
MimiIWG_FAIRv162,HFC125,3%,2037,190791
