2020,2030,2040,2050,2060,2070,2080,2090,2100
55061.39340653944,72233.19997991485,92503.16808064279,115523.47552366361,141368.4697021828,170451.40290448093,202885.49841378297,238792.59777359106,279101.8747412116
57249.08397322783,74456.2721304495,94798.40409649246,118090.47064766078,144506.63901979412,174538.41424685717,208588.22202193228,247261.21810184894,289514.8312101351
29982.3655720148,38093.36285565888,47365.80522492243,57615.67274087493,68900.33491370839,81419.444677327,95211.73416324999,110193.87547054184,126738.28847186745
37843.99619223555,48909.49437201493,61752.41344588752,76021.27676529916,91663.54427818694,108977.42923411913,128185.76360960361,149481.37194229584,173167.51459693105
34840.83521690348,44423.63358438318,55405.399679933726,67610.96646246174,81099.18201148993,96107.43325614384,112722.1499393644,130985.64316561332,151222.28628209318
36777.30706243147,47142.62146039757,59257.425386031275,72955.67969787338,88280.76523752272,105449.24197279611,124459.5485355357,145246.93609685643,168058.32472825458
31625.530578517453,40231.525056752325,50308.865831325376,61751.90091545495,74605.77388340468,89035.52370210676,105082.26751474649,122765.93589584014,142285.2896386835
35715.04415336132,45051.07711623487,55729.67470286416,67485.33941326372,80338.87140509278,94591.41896561236,110507.03022923146,128358.63290275885,148199.76929059872
31996.575866936215,40985.29387967333,51365.30602602115,62936.244101982345,75717.72782883172,89949.09498698692,105837.36189039149,123636.13878160814,143533.09067672136
26106.78154928756,33372.18130779413,41800.175448269496,51221.35110782942,61654.22148794626,73258.44059026477,86050.39877708748,99948.65093968493,115246.70331102062
25139.10742483317,32599.41382876497,41492.58799395825,51740.32416625753,63481.16259514008,76951.00455745797,92025.52293450397,108353.5587845676,125973.76574550176
20330.769910984938,25802.16634824521,32182.133871716025,39395.53332071037,47472.04940043701,56543.844375843786,66654.58318299323,77756.9614564922,90089.51969005147
35347.62815531227,45327.2285386367,56810.24601233749,69552.67228067871,83579.65261087789,99089.19240873383,116068.62885879228,134310.87911069865,154454.86654346585
39278.19690520904,50284.624896089845,63200.400629735785,77843.98137801883,94229.02039682437,112595.53073928517,133029.7197977711,155498.99384308056,180285.79245377588
36879.84247438528,47243.70199149627,59062.70060240773,72167.94715477241,86585.70102398584,102474.7323181743,119896.307571917,138968.22557329613,160127.1916332876
