2020,2030,2040,2050,2060,2070,2080
11427.63354685088,15572.665287926793,21662.542629848333,29979.476735790067,28245.78371420235,54763.50085039904,81281.21798659573
35630.327950148785,50401.7503837293,70629.41483225019,97978.79118554725,110918.729587766,183436.57467150778,255954.41975524955
7794.308511323421,10278.849640034718,13480.270004698927,17937.278011229417,17795.67548806781,30870.418836081284,43945.162184094756
8669.066723174192,11982.827923076757,16700.61868252226,23390.484499289912,22395.53841671904,46414.707626956435,70433.87683719383
16104.566362530622,21338.920302045728,28734.766873327164,38604.63310678986,42230.317348731296,67586.8657707865,92943.41419284172
10020.954405190505,14029.791774514904,20188.536962050435,29043.9963822394,31230.498534317776,60474.29662023763,89718.09470615748
12011.649993780225,17096.52334042105,24456.74119470446,34617.44258604009,35599.50281619705,67264.75286154475,98930.00290689246
4216.984782918872,4142.858399574713,4414.861587427479,4900.097965763995,4894.300891421099,8296.07609157408,11697.85129172706
5698.075936512959,7211.413215519895,9613.924444191069,13045.813853232195,13837.769076527115,23752.096534544587,33666.42399256206
11054.69214490108,15874.67762126408,23170.571407361862,33517.9417482106,35199.642390914836,68239.68139356875,101279.72039622268
7099.593553847634,9745.965362071882,14160.682999910474,20322.721478652857,20697.248017767677,46386.660564502046,72076.07311123642
17504.65087252703,24344.867675032845,34806.55055431543,48968.672856755074,48388.88642496602,105396.04200770224,162403.19759043847
4374.693520063174,7023.855341061017,11289.185626294642,17302.858134686434,20445.428441369175,43600.48634943776,66755.54425750634
10599.264199773013,14031.467463489642,18983.65062645269,26459.621088562275,25700.035903667595,54971.821826274354,84243.60774888111
14231.973460275649,19466.8413393188,27779.77210846983,39653.990253881115,40365.93219161825,86262.17604314537,132158.4198946725
9197.551393151509,12635.875545591223,17459.08732687687,24222.912180840256,22073.665954220713,47259.12444067137,72444.58292712203
16291.080812862445,22515.874605393583,31826.113494828,45254.79335070877,50606.80184005976,92624.92979552761,134643.05775099547
15632.481039931405,22019.37588804514,31200.809154477716,43823.13331592585,45392.49846275685,88641.60067674896,131890.70289074106
13863.41976624233,18635.81595504043,26469.455644267076,37364.30909404691,40803.473147662844,82200.75973189378,123598.0463161247
8143.622226892323,12042.9137674679,18791.371779401907,28836.59024017549,33984.56614833172,79541.63683061494,125098.70751289817
4575.562775438,6314.227849564258,8697.870882862875,11845.870462004441,11591.388653881233,22815.64183263581,34039.895011390385
18977.13265761507,28016.714811591635,42013.36466634614,60790.04003778095,65626.42903680343,145908.8918984924,226191.35476018142
8036.82194953036,11374.44234383595,16207.193299883305,23509.02659775823,24958.655613258565,54056.00952032619,83153.36342739381
10154.640307198782,14072.816514576309,19585.564546301728,28138.43585967561,29463.54638535892,55504.31155957128,81545.07673378364
8295.420993103677,11464.664774043038,16661.99324472581,24179.682562374004,25539.248153539524,53399.100018788675,81258.95188403783
3081.289648129416,4586.325779081317,6815.399120915651,10044.27031383218,10154.50519776086,19897.601262698372,29640.697327635888
12609.806935007584,16637.9287585399,22761.34714339908,30962.749117851126,29613.793093982094,55236.69240651317,80859.59171904424
40624.89931349817,60299.5188051238,88875.94626024218,128228.31221767259,150676.89998637128,305257.47687848815,459838.053770605
15775.515125060638,23318.800793491315,34379.02794420984,50036.99111680802,53962.06072894377,113904.22066661209,173846.38060428042
4918.921230634283,7051.9209130758,10478.213355933482,15844.819816435904,16767.247253262518,32193.72517203047,47620.20309079842
8976.019484319479,12794.486393785912,18532.340287557377,26258.074149707474,27133.364997631677,49826.70267126608,72520.04034490048
13543.525465986193,18557.117721786566,25759.287772920594,35654.83004601837,36687.71334407176,71113.13062368607,105538.5479033004
12332.374697609435,17364.464933317784,25013.36277147334,36375.44178694723,40254.05877905614,76340.15257788758,112426.24637671902
33893.86708372022,46709.29905452639,64763.997852251385,89685.54295934537,94516.09447435124,168788.74135071208,243061.38822707292
8168.865046927088,9870.692752142515,12162.989668531742,15666.601156704204,14173.676465926123,23676.992530139083,33180.30859435204
21184.90145853157,32461.958780752233,49650.04576967485,73997.97077776089,87511.89188536645,195017.62435185164,302523.3568183368
