2020,2030,2040,2050,2060,2070,2080,2090,2100
85678.92494154055,117356.63399153284,155720.8041293983,199063.1543447562,244839.346738372,292217.21242885804,342423.6289302942,395453.3371045432,451232.1125678638
89220.97608917352,120241.05266857054,157547.82592313635,199728.56327384966,244630.11818658008,291503.3881689055,341406.7257325484,394258.76532177685,449911.9254952768
45614.95900906218,60668.310815760764,78363.31469030108,97693.72746820026,118070.64388341652,139559.24109721123,162639.60125864262,187587.9085636263,215192.84952740034
57356.93975019946,77281.21502765974,100962.00076326456,127010.49013349932,154640.99611685588,184263.2896713756,217138.8224663328,252270.37039055515,288853.4065954686
53262.94675839358,70917.14148216543,91662.99792547,114400.82618929801,138514.88717014052,164279.83224583854,192596.16296322795,222516.63487505147,253491.79899852446
55785.9534057312,74348.74609610064,96410.98633504062,120871.8190724173,147031.29077309815,174984.54028049187,205378.89513114005,238803.85304772697,273984.7213388486
47778.02018302735,62992.24103443497,81027.74932213026,100983.11198224561,122296.26655256758,145030.69464811828,169672.3621454367,196578.45812751676,226347.84732118377
53952.48099557475,70908.77754513397,90700.14828613629,112076.37644169987,134332.16535335837,157673.15731643545,182851.23809614853,210367.6299358575,240416.0584196929
48765.84354449298,65117.127496617264,84441.05004120569,105642.27129100711,128057.70310370803,151841.58597980862,177718.78710254247,206299.86324069963,238142.59383160347
39424.26008899651,52708.48967876831,68489.1419536729,85812.09251782726,104081.0314887519,123327.61081658388,143914.66814490897,165886.95124477448,189499.42631418546
38527.797406595535,52457.057156756244,69435.60861506205,88582.07399493881,109334.80211367214,131706.88887649693,155867.3333626525,181631.38487049285,209228.5160690501
30852.325494380162,40753.7538125868,52557.15975903823,65682.314762958,79759.25475283468,94829.37513431904,111157.52955786922,128775.16150675142,147869.3455364278
54049.470914770645,72542.52675712129,94432.34907707572,118497.28596061972,143997.76362137636,171027.0137324438,200271.2710881527,232279.21443937675,266181.0864954086
59416.0734227512,78793.13377640184,101816.39727681462,127349.6066084981,154813.01998372006,184705.13929577012,216557.675050958,249757.98921198165,285067.89819879236
56013.54212495535,74793.30563978083,96778.30648810077,120855.49494239633,146305.18917489168,173180.21426948026,202251.76156460063,234321.7812766016,268267.52689889015
32819.68295159422,42962.681094120155,54954.747556370654,68330.41381742734,82773.23381057006,98292.75693339735,115133.34247788962,133401.0145322642,153185.48321777332
67460.4233978528,90285.95614315293,117756.24926213603,148695.21568870073,182508.97099601448,219722.2292366597,259648.12635224173,301589.17178879795,345982.8738890239
72440.59993056234,98144.2767430371,128809.603647679,162919.11252899742,199809.46606625672,238362.992906186,278360.1473105958,320589.47965226613,365277.5051762245
59123.795903069185,80773.71172680992,106984.57296245676,136260.3796043174,167650.88019677997,201452.95970193564,238681.70161389426,277933.67119075236,318409.6441274291
103067.89643580068,138625.0862011052,181135.2445058627,228631.4141389575,278449.23012896057,329975.1282465351,384774.61319221987,443028.21128343267,504480.70988342736
39108.424831543394,52239.90593471005,67894.24690999913,85218.3551369372,103691.53799778601,123408.94501545017,144795.89621057542,168077.28850598948,193856.88216386246
77038.69729075002,103884.91901633714,136193.76456300783,172415.1070346599,211672.04249388297,254506.33721821097,300185.68523461354,347625.9961033254,397863.0245686857
