model,year,HFC23,HFC32,HFC125,HFC134a,HFC143a,HFC152a,HFC227ea,HFC236fa,HFC245fa,HFC365mfc,HFC4310mee,discount.rate
MimiGIVE,2020,2377,61,362,128,609,15,405,1528,79,76,168,2.0% Ramsey
MimiGIVE,2030,2844,91,481,181,780,22,525,1825,115,110,234,2.0% Ramsey
MimiGIVE,2040,3296,128,606,241,953,32,649,2112,159,150,306,2.0% Ramsey
MimiGIVE,2050,3785,166,735,300,1136,42,778,2422,202,191,380,2.0% Ramsey
MimiGIVE,2060,4208,198,849,353,1299,51,893,2690,240,226,444,2.0% Ramsey
MimiGIVE,2070,4532,225,944,396,1431,58,987,2894,272,255,498,2.0% Ramsey
MimiGIVE,2080,4852,250,1037,438,1564,65,1082,3096,302,283,550,2.0% Ramsey
MimiGIVE,2090,5180,277,1136,483,1704,72,1180,3302,333,313,605,2.0% Ramsey
MimiGIVE,2100,5348,296,1202,514,1794,77,1245,3406,356,334,643,2.0% Ramsey
MimiGIVE,2020,1078,43,223,86,347,10,238,688,54,52,111,3.0% Ramsey
MimiGIVE,2030,1373,68,313,128,469,16,326,874,84,80,163,3.0% Ramsey
MimiGIVE,2040,1669,99,409,176,596,25,418,1061,121,114,221,3.0% Ramsey
MimiGIVE,2050,1989,131,507,224,728,34,513,1264,157,147,279,3.0% Ramsey
MimiGIVE,2060,2264,157,591,265,842,41,595,1438,187,175,328,3.0% Ramsey
MimiGIVE,2070,2470,177,655,295,930,47,658,1568,210,196,366,3.0% Ramsey
MimiGIVE,2080,2697,196,723,327,1024,52,726,1711,232,217,404,3.0% Ramsey
MimiGIVE,2090,2929,216,795,360,1124,58,797,1858,256,239,446,3.0% Ramsey
MimiGIVE,2100,3039,229,836,380,1178,61,836,1926,271,253,470,3.0% Ramsey
MimiIWG,2020,2436,68,411,160,558,9,383,1595,110,85,185,2% Constant Discount Rate
MimiIWG,2030,2835,88,508,204,675,12,470,1859,142,110,235,2% Constant Discount Rate
MimiIWG,2040,3266,113,616,253,802,16,566,2146,180,139,291,2% Constant Discount Rate
MimiIWG,2050,3719,140,726,302,932,20,665,2446,219,168,346,2% Constant Discount Rate
MimiIWG,2060,4177,141,820,332,1054,20,753,2747,228,177,383,2% Constant Discount Rate
MimiIWG,2070,4789,206,1009,441,1250,29,915,3153,324,249,502,2% Constant Discount Rate
MimiIWG,2080,5409,273,1202,554,1451,39,1080,3564,422,323,625,2% Constant Discount Rate
MimiIWG,2090,5704,294,1294,600,1558,42,1163,3760,456,348,674,2% Constant Discount Rate
MimiIWG,2100,5996,315,1388,643,1667,45,1247,3957,490,373,724,2% Constant Discount Rate
MimiIWG,2020,961,39,211,87,268,5,193,636,61,48,100,3% Constant Discount Rate
MimiIWG,2030,1186,53,275,117,342,7,251,786,84,65,134,3% Constant Discount Rate
MimiIWG,2040,1440,71,350,153,426,10,317,956,112,86,174,3% Constant Discount Rate
MimiIWG,2050,1720,92,430,190,518,13,388,1142,142,108,216,3% Constant Discount Rate
MimiIWG,2060,2013,94,502,214,607,13,454,1336,151,117,246,3% Constant Discount Rate
MimiIWG,2070,2448,149,660,306,766,21,588,1627,231,177,345,3% Constant Discount Rate
MimiIWG,2080,2894,204,822,401,930,29,727,1925,314,239,448,3% Constant Discount Rate
MimiIWG,2090,3081,220,885,433,1001,31,783,2049,338,257,484,3% Constant Discount Rate
MimiIWG,2100,3273,236,952,465,1074,34,842,2179,364,276,520,3% Constant Discount Rate
